# A subset of Load Love Numbers, see Wang et al. CAGEO, (2012)
# Note: these load love number are in the CM reference frame,
# i.e. center of mass of total Earth system (solid + hydro + atmos).
# To convert to other reference frames, see Blewitt, JGR, (2003)
# For CE (center of mass solid Earth), ke0 = 0, he1 = hm1 + 1,
# le1 = lm1 + 1, ke1 = km1 + 1.  For CF (center of figure ~CE, within 2%),
# kf0 = 0, hf1 = 2/3(hm1 - lm1), lf1 = -1/3(hm1 - lm1),
# kf1 = -1/3*hm1 -2/3*lm1 - 1.
# All love numbers for degree >= 2 are the same for all ref frames.
-2.87046960E+00	+1.05596450E-02	-1.72068820E-02
-2.87637390E+00	+1.04500510E-02	-1.70065600E-02
-2.88222600E+00	+1.03423840E-02	-1.68105900E-02
-2.88802850E+00	+1.02365990E-02	-1.66188450E-02
-2.89378390E+00	+1.01326550E-02	-1.64312030E-02
-2.89949450E+00	+1.00305080E-02	-1.62475470E-02
-2.90516270E+00	+9.93011690E-03	-1.60677620E-02
-2.91079050E+00	+9.83144290E-03	-1.58917410E-02
-2.91637990E+00	+9.73444670E-03	-1.57193760E-02
-2.92193300E+00	+9.63909070E-03	-1.55505670E-02
-2.92745140E+00	+9.54533830E-03	-1.53852150E-02
-2.93293700E+00	+9.45315380E-03	-1.52232250E-02
-2.93839130E+00	+9.36250260E-03	-1.50645060E-02
-2.94381610E+00	+9.27335090E-03	-1.49089680E-02
-2.94921270E+00	+9.18566600E-03	-1.47565260E-02
-2.95458260E+00	+9.09941590E-03	-1.46070990E-02
-2.95992720E+00	+9.01456950E-03	-1.44606040E-02
-2.96524760E+00	+8.93109670E-03	-1.43169670E-02
-2.97054530E+00	+8.84896810E-03	-1.41761110E-02
-2.97582130E+00	+8.76815480E-03	-1.40379650E-02
-2.98107670E+00	+8.68862920E-03	-1.39024580E-02
-2.98631250E+00	+8.61036400E-03	-1.37695230E-02
-2.99152990E+00	+8.53333280E-03	-1.36390940E-02
-2.99672980E+00	+8.45750970E-03	-1.35111080E-02
-3.00191290E+00	+8.38286990E-03	-1.33855030E-02
-3.00708030E+00	+8.30938860E-03	-1.32622200E-02
-3.01223280E+00	+8.23704230E-03	-1.31412010E-02
-3.01737100E+00	+8.16580760E-03	-1.30223900E-02
-3.02249580E+00	+8.09566190E-03	-1.29057340E-02
-3.02760790E+00	+8.02658320E-03	-1.27911790E-02
-3.03270800E+00	+7.95855000E-03	-1.26786750E-02
-3.03779660E+00	+7.89154130E-03	-1.25681720E-02
-3.04287440E+00	+7.82553670E-03	-1.24596220E-02
-3.04794200E+00	+7.76051630E-03	-1.23529790E-02
-3.05299990E+00	+7.69646060E-03	-1.22481980E-02
-3.05804860E+00	+7.63335070E-03	-1.21452350E-02
-3.06308870E+00	+7.57116800E-03	-1.20440480E-02
-3.06812050E+00	+7.50989460E-03	-1.19445940E-02
-3.07314460E+00	+7.44951280E-03	-1.18468350E-02
-3.07816140E+00	+7.39000540E-03	-1.17507320E-02
-3.08317130E+00	+7.33135570E-03	-1.16562450E-02
-3.08817470E+00	+7.27354740E-03	-1.15633400E-02
-3.09317180E+00	+7.21656440E-03	-1.14719800E-02
-3.09816320E+00	+7.16039110E-03	-1.13821300E-02
-3.10314900E+00	+7.10501240E-03	-1.12937570E-02
-3.10812960E+00	+7.05041340E-03	-1.12068280E-02
-3.11310540E+00	+6.99657950E-03	-1.11213110E-02
-3.11807650E+00	+6.94349670E-03	-1.10371750E-02
-3.12304330E+00	+6.89115090E-03	-1.09543910E-02
-3.12800590E+00	+6.83952880E-03	-1.08729280E-02
-3.13296470E+00	+6.78861710E-03	-1.07927580E-02
-3.13791990E+00	+6.73840290E-03	-1.07138530E-02
-3.14287160E+00	+6.68887350E-03	-1.06361870E-02
-3.14782010E+00	+6.64001680E-03	-1.05597330E-02
-3.15276560E+00	+6.59182060E-03	-1.04844660E-02
-3.15770820E+00	+6.54427320E-03	-1.04103600E-02
-3.16264810E+00	+6.49736310E-03	-1.03373920E-02
-3.16758550E+00	+6.45107900E-03	-1.02655370E-02
-3.17252050E+00	+6.40540990E-03	-1.01947730E-02
-3.17745330E+00	+6.36034520E-03	-1.01250780E-02
-3.18238400E+00	+6.31587420E-03	-1.00564290E-02
-3.18731270E+00	+6.27198680E-03	-9.98880450E-03
-3.19223960E+00	+6.22867290E-03	-9.92218500E-03
-3.19716480E+00	+6.18592270E-03	-9.85654960E-03
-3.20208830E+00	+6.14372650E-03	-9.79187880E-03
-3.20701020E+00	+6.10207490E-03	-9.72815320E-03
-3.21193080E+00	+6.06095890E-03	-9.66535420E-03
-3.21685000E+00	+6.02036930E-03	-9.60346350E-03
-3.22176790E+00	+5.98029740E-03	-9.54246330E-03
-3.22668470E+00	+5.94073460E-03	-9.48233620E-03
-3.23160030E+00	+5.90167240E-03	-9.42306520E-03
-3.23651490E+00	+5.86310260E-03	-9.36463380E-03
-3.24142840E+00	+5.82501720E-03	-9.30702590E-03
-3.24634110E+00	+5.78740810E-03	-9.25022570E-03
-3.25125290E+00	+5.75026780E-03	-9.19421780E-03
-3.25616390E+00	+5.71358860E-03	-9.13898730E-03
-3.26107410E+00	+5.67736300E-03	-9.08451940E-03
-3.26598350E+00	+5.64158390E-03	-9.03080000E-03
-3.27089230E+00	+5.60624420E-03	-8.97781490E-03
-3.27580040E+00	+5.57133680E-03	-8.92555060E-03
-3.28070790E+00	+5.53685500E-03	-8.87399380E-03
-3.28561480E+00	+5.50279200E-03	-8.82313140E-03
-3.29052110E+00	+5.46914130E-03	-8.77295070E-03
-3.29542690E+00	+5.43589660E-03	-8.72343940E-03
-3.30033220E+00	+5.40305150E-03	-8.67458520E-03
-3.30523700E+00	+5.37059980E-03	-8.62637630E-03
-3.31014140E+00	+5.33853560E-03	-8.57880120E-03
-3.31504520E+00	+5.30685290E-03	-8.53184840E-03
-3.31994860E+00	+5.27554590E-03	-8.48550700E-03
-3.32485160E+00	+5.24460890E-03	-8.43976610E-03
-3.32975410E+00	+5.21403640E-03	-8.39461500E-03
-3.33465630E+00	+5.18382290E-03	-8.35004350E-03
-3.33955800E+00	+5.15396300E-03	-8.30604150E-03
-3.34445930E+00	+5.12445150E-03	-8.26259900E-03
-3.34936020E+00	+5.09528330E-03	-8.21970630E-03
-3.35426070E+00	+5.06645320E-03	-8.17735390E-03
-3.35916090E+00	+5.03795630E-03	-8.13553270E-03
-3.36406060E+00	+5.00978790E-03	-8.09423350E-03
-3.36895990E+00	+4.98194300E-03	-8.05344740E-03
-3.37385880E+00	+4.95441700E-03	-8.01316580E-03
-3.37875720E+00	+4.92720530E-03	-7.97338010E-03
-3.38365530E+00	+4.90030340E-03	-7.93408210E-03
-3.38855290E+00	+4.87370690E-03	-7.89526350E-03
-3.39345010E+00	+4.84741140E-03	-7.85691640E-03
-3.39834690E+00	+4.82141270E-03	-7.81903300E-03
-3.40324320E+00	+4.79570660E-03	-7.78160570E-03
-3.40813900E+00	+4.77028890E-03	-7.74462690E-03
-3.41303440E+00	+4.74515570E-03	-7.70808930E-03
-3.41792920E+00	+4.72030300E-03	-7.67198570E-03
-3.42282360E+00	+4.69572680E-03	-7.63630910E-03
-3.42771740E+00	+4.67142350E-03	-7.60105260E-03
-3.43261070E+00	+4.64738910E-03	-7.56620950E-03
-3.43750350E+00	+4.62362000E-03	-7.53177300E-03
-3.44239570E+00	+4.60011260E-03	-7.49773670E-03
-3.44728730E+00	+4.57686340E-03	-7.46409430E-03
-3.45217830E+00	+4.55386880E-03	-7.43083950E-03
-3.45706870E+00	+4.53112540E-03	-7.39796620E-03
-3.46195850E+00	+4.50862980E-03	-7.36546850E-03
-3.46684760E+00	+4.48637880E-03	-7.33334030E-03
-3.47173600E+00	+4.46436890E-03	-7.30157610E-03
-3.47662370E+00	+4.44259710E-03	-7.27017010E-03
-3.48151070E+00	+4.42106010E-03	-7.23911680E-03
-3.48639700E+00	+4.39975500E-03	-7.20841080E-03
-3.49128250E+00	+4.37867850E-03	-7.17804670E-03
-3.49616720E+00	+4.35782780E-03	-7.14801930E-03
-3.50105120E+00	+4.33719990E-03	-7.11832360E-03
-3.50593430E+00	+4.31679180E-03	-7.08895440E-03
-3.51081650E+00	+4.29660080E-03	-7.05990680E-03
-3.51569790E+00	+4.27662390E-03	-7.03117600E-03
-3.52057840E+00	+4.25685860E-03	-7.00275730E-03
-3.52545800E+00	+4.23730190E-03	-6.97464600E-03
-3.53033660E+00	+4.21795140E-03	-6.94683750E-03
-3.53521430E+00	+4.19880430E-03	-6.91932720E-03
-3.54009090E+00	+4.17985800E-03	-6.89211090E-03
-3.54496660E+00	+4.16111010E-03	-6.86518420E-03
-3.54984120E+00	+4.14255800E-03	-6.83854280E-03
-3.55471470E+00	+4.12419920E-03	-6.81218260E-03
-3.55958710E+00	+4.10603130E-03	-6.78609950E-03
-3.56445840E+00	+4.08805200E-03	-6.76028940E-03
-3.56932860E+00	+4.07025880E-03	-6.73474840E-03
-3.57419760E+00	+4.05264950E-03	-6.70947260E-03
-3.57906540E+00	+4.03522170E-03	-6.68445830E-03
-3.58393200E+00	+4.01797330E-03	-6.65970160E-03
-3.58879730E+00	+4.00090200E-03	-6.63519890E-03
-3.59366130E+00	+3.98400570E-03	-6.61094660E-03
-3.59852400E+00	+3.96728210E-03	-6.58694110E-03
-3.60338540E+00	+3.95072930E-03	-6.56317910E-03
-3.60824550E+00	+3.93434500E-03	-6.53965690E-03
-3.61310410E+00	+3.91812730E-03	-6.51637130E-03
-3.61796130E+00	+3.90207420E-03	-6.49331900E-03
-3.62281710E+00	+3.88618360E-03	-6.47049660E-03
-3.62767140E+00	+3.87045360E-03	-6.44790120E-03
